City,State,lat_city,lon_city
Big Cabin,OK,36.5378651,-95.221358
Tomah,WI,43.9785759,-90.5040214
Gila Bend,AZ,32.9478236,-112.7168305
Fort Smith,AR,35.3843722,-94.4209646
Columbia,NJ,40.9256446,-75.0931123
Mount Jackson,VA,38.74594820000001,-78.6422377
Jarrell,TX,30.824616,-97.6043608
Shorter,AL,32.3951313,-85.9183541
Seymour,IN,38.9592201,-85.8902547
Council Bluffs,IA,41.2619444,-95.8608333
Sterling,ND,46.8514103,-100.2596189
Montrose,CO,38.4783198,-107.8761738
Laurel,DE,38.5565041,-75.5713141
New Castle,DE,39.6620397,-75.5668166
Ellenton,FL,27.521705,-82.5275963
Dumont,CO,39.7662054,-105.5980035
Crawfordville,GA,33.5540209,-82.8959785
Bridgeport,MI,43.3609299,-83.8851117
Lupton,AZ,35.3539127,-109.0537017
Eloy,AZ,32.7558962,-111.554844
Henderson,KY,37.8361538,-87.59001339999999
Effingham,IL,39.1200418,-88.5433829
Atkinson,IL,41.4208678,-90.0151121
Daleville,IN,40.12303259999999,-85.55724289999999
Fort Wayne,IN,41.079273,-85.1393513
Gothenburg,NE,40.9276614,-100.1606978
Jacksonville,FL,30.3321838,-81.65565099999999
Denham Springs,LA,30.48685639999999,-90.9562125
Lake Station,IN,41.5750369,-87.23892459999999
Hebron,IN,41.3186482,-87.2003091
Nacogdoches,TX,31.6039455,-94.656004
Moorcroft,WY,44.2633149,-104.9502538
Latimer,IA,42.7633056,-93.3682594
Clear Lake,IA,43.1435564,-93.3788108
Stuart,IA,41.5034243,-94.3183715
West Memphis,AR,35.1465418,-90.1847862
Atwood,CO,40.5477619,-103.2696574
Salina,KS,38.8402805,-97.6114237
Highland,IN,41.5536468,-87.451984
Sardinia,OH,39.0078448,-83.8085377
Ocean Springs,MS,30.4113097,-88.8278057
Mount Vernon,KY,37.3528615,-84.3404919
Ocala,FL,29.1871986,-82.14009229999999
Port Allen,LA,30.4474878,-91.2073261
Lake Village,IN,41.1375346,-87.44864369999999
Duson,LA,30.2357577,-92.1854035
New Orleans,LA,29.9508941,-90.0758356
Hays,KS,38.8791783,-99.3267702
Grantsville,MD,39.6950833,-79.15114109999999
Great Falls,MT,47.5052849,-111.3007715
Bridgman,MI,41.9430986,-86.5569659
Dodge City,KS,37.7527982,-100.0170787
Monroe,MI,41.9164343,-83.3977101
Carlisle,IN,38.9623034,-87.40255719999999
Taylorsville,IN,39.2958844,-85.9508264
Lawrence,KS,38.9716689,-95.2352501
Cherryvale,KS,37.270344,-95.5524788
Matfield Green,KS,38.1591843,-96.5605664
Springfield,MA,42.1014831,-72.589811
Kansas City,KS,39.11553139999999,-94.6267873
Ogallala,NE,41.12821780000001,-101.7203993
Willard,UT,41.4127699,-112.0408891
Saint Johns,FL,30.0820653,-81.5471201
Portage,IN,41.5758707,-87.1761455
